EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-8.658,-9.449,4.817,73.494,39.499,31.087,20.915,4.858,-0.112,0.740,0.656,-4.059,3.662,-0.519,86.667,16022.000,1.000
-15.567,-14.334,-1.753,37.613,20.954,14.453,4.971,0.883,-0.112,0.741,0.660,-4.089,3.723,-0.488,86.667,16023.000,1.000
-21.217,-18.633,-8.729,-3.644,1.245,-2.959,-11.344,-3.663,-0.115,0.740,0.665,-4.242,3.784,-0.488,86.667,16024.000,1.000
-23.773,-20.958,-14.386,-42.534,-15.500,-17.708,-24.633,-7.559,-0.118,0.738,0.664,-4.517,3.693,-0.580,86.667,16025.000,1.000
-20.667,-19.888,-16.084,-65.373,-22.318,-24.109,-29.120,-8.301,-0.121,0.738,0.659,-4.456,3.540,-0.641,86.667,16026.000,1.000
-11.664,-15.565,-12.952,-63.393,-16.090,-19.660,-22.395,-4.618,-0.123,0.738,0.662,-4.456,3.296,-0.732,86.667,16027.000,1.000
0.478,-9.432,-6.547,-39.888,-0.467,-7.428,-7.866,2.422,-0.126,0.738,0.662,-4.364,3.143,-0.702,86.667,16028.000,1.000
12.556,-2.587,1.107,-4.674,18.560,7.672,9.291,10.795,-0.131,0.738,0.664,-4.364,2.686,-0.763,86.667,16029.000,1.000
23.234,4.952,9.299,36.436,38.497,23.720,27.190,19.306,-0.134,0.734,0.665,-4.333,2.350,-0.885,86.667,16030.000,1.000
32.206,13.010,17.908,83.163,59.830,41.178,46.466,27.270,-0.137,0.733,0.667,-4.333,1.862,-1.068,86.667,16031.000,1.000
37.899,19.695,25.429,132.125,80.291,57.994,64.998,32.810,-0.139,0.732,0.669,-4.272,1.404,-1.251,86.667,16032.000,1.000
37.653,22.059,28.883,171.548,92.745,68.042,76.163,32.982,-0.140,0.729,0.668,-4.150,0.885,-1.343,86.667,16033.000,1.000
30.604,18.684,26.195,188.352,90.650,65.911,74.006,26.360,-0.143,0.731,0.669,-3.998,0.397,-1.495,86.667,16034.000,1.000
19.449,11.228,18.300,179.263,74.421,52.133,59.115,15.024,-0.144,0.731,0.668,-3.937,-0.275,-1.648,86.667,16035.000,1.000
8.508,3.078,8.385,151.913,50.638,32.327,37.812,3.262,-0.146,0.734,0.670,-3.876,-0.916,-1.862,86.667,16036.000,1.000
0.019,-3.522,-0.906,115.245,25.353,11.588,15.873,-5.857,-0.145,0.734,0.669,-3.784,-1.343,-1.953,86.667,16037.000,1.000
-6.876,-8.527,-8.897,72.470,0.266,-8.639,-5.139,-12.182,-0.147,0.734,0.669,-3.693,-2.136,-2.106,86.667,16038.000,1.000
-13.127,-12.262,-15.323,25.511,-23.801,-27.657,-24.745,-16.639,-0.146,0.734,0.669,-3.632,-2.686,-2.197,86.667,16039.000,1.000
-16.932,-13.687,-18.477,-16.647,-41.997,-41.482,-38.926,-18.668,-0.142,0.734,0.667,-3.540,-3.265,-2.411,86.667,16040.000,1.000
-15.113,-11.379,-16.235,-39.385,-47.097,-44.276,-41.441,-16.550,-0.141,0.735,0.670,-3.418,-3.754,-2.472,86.667,16041.000,1.000
-6.820,-5.621,-8.812,-34.141,-36.574,-34.238,-30.160,-10.093,-0.141,0.735,0.670,-3.235,-4.211,-2.502,86.667,16042.000,1.000
5.280,1.378,0.610,-6.142,-16.101,-16.410,-10.159,-1.889,-0.142,0.736,0.669,-3.052,-4.486,-2.533,86.667,16043.000,1.000
17.573,7.388,8.588,31.801,5.445,1.669,10.771,4.877,-0.141,0.737,0.673,-3.113,-4.944,-2.441,86.667,16044.000,1.000
28.280,11.822,14.264,71.604,23.613,16.437,28.807,9.387,-0.138,0.736,0.672,-3.082,-5.280,-2.411,86.667,16045.000,1.000
36.947,15.105,18.817,112.729,39.250,28.914,44.619,12.861,-0.135,0.731,0.670,-3.082,-5.615,-2.472,86.667,16046.000,1.000
41.970,16.840,22.408,153.225,52.421,39.357,57.882,15.436,-0.134,0.733,0.671,-2.991,-5.890,-2.289,86.667,16047.000,1.000
40.574,15.729,23.070,183.264,58.807,44.114,64.362,15.091,-0.133,0.734,0.669,-2.808,-6.165,-2.136,86.667,16048.000,1.000
31.920,11.525,19.080,191.482,53.923,39.278,60.018,10.309,-0.132,0.733,0.667,-2.625,-6.317,-2.106,86.667,16049.000,1.000
18.943,5.995,11.358,175.766,38.902,25.651,46.135,2.486,-0.130,0.733,0.665,-2.594,-6.531,-1.984,86.667,16050.000,1.000
6.157,1.396,2.760,144.257,19.708,8.188,28.378,-5.216,-0.129,0.735,0.662,-2.563,-6.561,-1.923,86.667,16051.000,1.000
-3.857,-1.519,-4.546,105.872,1.034,-8.930,11.153,-10.843,-0.127,0.735,0.663,-2.594,-6.683,-1.862,86.667,16052.000,1.000
-11.256,-3.602,-10.345,63.095,-16.995,-24.991,-5.396,-14.802,-0.126,0.734,0.663,-2.533,-6.561,-1.770,86.667,16053.000,1.000
-16.495,-5.547,-14.965,16.209,-35.199,-39.938,-22.023,-18.099,-0.126,0.732,0.662,-2.441,-6.561,-1.709,86.667,16054.000,1.000
-18.139,-6.579,-17.432,-27.824,-50.217,-50.492,-35.568,-20.195,-0.124,0.733,0.663,-2.502,-6.439,-1.587,86.667,16055.000,1.000
-14.123,-5.462,-16.140,-55.688,-55.666,-51.536,-40.014,-19.455,-0.121,0.733,0.663,-2.411,-6.226,-1.465,86.667,16056.000,1.000
-4.786,-2.415,-11.158,-58.451,-48.658,-41.616,-32.603,-15.446,-0.122,0.733,0.661,-2.289,-6.073,-1.404,86.667,16057.000,1.000
6.718,0.982,-4.683,-39.087,-32.998,-25.064,-16.931,-9.672,-0.120,0.733,0.658,-2.289,-5.981,-1.343,86.667,16058.000,1.000
17.338,3.793,1.165,-7.323,-14.760,-7.670,1.025,-3.729,-0.118,0.733,0.662,-2.167,-5.768,-1.312,86.667,16059.000,1.000
26.295,6.653,6.092,30.602,3.561,8.389,18.345,2.259,-0.118,0.734,0.662,-2.014,-5.615,-1.221,86.667,16060.000,1.000
33.706,10.282,10.623,73.474,22.463,23.831,34.895,8.528,-0.117,0.735,0.660,-1.953,-5.280,-1.221,86.667,16061.000,1.000
38.090,13.687,13.989,117.117,39.969,37.449,48.702,13.657,-0.116,0.737,0.659,-1.953,-5.005,-1.129,86.667,16062.000,1.000
36.585,14.599,14.053,149.695,49.720,44.438,54.431,14.865,-0.116,0.735,0.659,-1.984,-4.639,-1.160,86.667,16063.000,1.000
27.854,11.724,9.560,158.646,46.040,40.572,47.871,10.640,-0.116,0.736,0.662,-1.984,-4.272,-1.160,86.667,16064.000,1.000
14.105,6.097,1.869,141.584,29.850,26.970,30.885,2.559,-0.118,0.736,0.662,-2.045,-4.028,-1.221,86.667,16065.000,1.000
-0.382,-0.021,-6.092,107.542,7.918,9.340,10.323,-5.883,-0.115,0.737,0.658,-2.197,-3.754,-1.160,86.667,16066.000,1.000
-12.607,-5.293,-12.550,67.045,-13.690,-7.482,-8.174,-12.211,-0.115,0.735,0.656,-2.228,-3.479,-1.190,86.667,16067.000,1.000
-22.080,-9.826,-17.936,23.909,-33.617,-22.746,-23.869,-16.314,-0.113,0.733,0.656,-2.289,-3.113,-1.129,86.667,16068.000,1.000
-28.665,-13.526,-22.916,-21.102,-51.974,-36.823,-37.768,-18.784,-0.111,0.731,0.656,-2.289,-2.747,-1.068,86.667,16069.000,1.000
-30.601,-14.900,-26.244,-61.470,-65.296,-46.881,-47.641,-18.910,-0.110,0.732,0.655,-2.197,-2.289,-1.007,86.667,16070.000,1.000
-25.850,-12.252,-25.500,-84.939,-67.563,-47.865,-48.609,-15.233,-0.109,0.733,0.654,-2.075,-1.862,-0.824,86.667,16071.000,1.000
-15.038,-5.752,-19.734,-83.677,-56.340,-37.695,-38.601,-7.647,-0.110,0.734,0.654,-2.106,-1.526,-0.763,86.667,16072.000,1.000
-2.029,2.295,-10.728,-61.569,-35.994,-19.848,-21.327,1.836,-0.113,0.734,0.655,-2.045,-1.160,-0.824,86.667,16073.000,1.000
8.873,9.322,-1.438,-29.252,-13.692,-0.127,-2.848,10.600,-0.113,0.735,0.654,-2.014,-0.885,-0.702,86.667,16074.000,1.000
15.813,14.125,6.288,6.420,6.672,18.072,13.662,17.277,-0.115,0.734,0.654,-2.075,-0.488,-0.610,86.667,16075.000,1.000
18.999,16.403,11.910,44.731,24.910,34.037,28.181,21.671,-0.116,0.734,0.654,-2.106,-0.122,-0.519,86.667,16076.000,1.000
18.309,15.543,14.607,83.156,39.568,46.019,39.513,23.222,-0.115,0.733,0.654,-2.136,0.031,-0.519,86.667,16077.000,1.000
12.676,10.902,12.821,111.556,45.465,49.691,43.269,20.671,-0.118,0.733,0.654,-2.106,0.275,-0.488,86.667,16078.000,1.000
2.096,3.233,6.067,118.160,38.080,41.899,35.751,13.822,-0.119,0.735,0.652,-2.136,0.488,-0.366,86.667,16079.000,1.000
-10.837,-5.008,-3.442,100.485,19.237,24.939,18.758,4.891,-0.120,0.737,0.651,-2.289,0.610,-0.275,86.667,16080.000,1.000
-22.488,-11.370,-12.013,66.977,-3.784,5.226,-1.455,-2.880,-0.124,0.738,0.652,-2.258,0.793,-0.275,86.667,16081.000,1.000
-31.229,-15.347,-17.481,27.414,-24.898,-12.451,-20.039,-7.951,-0.126,0.739,0.655,-2.380,0.793,-0.153,86.667,16082.000,1.000
-38.050,-18.256,-20.467,-14.987,-43.198,-27.857,-36.631,-11.124,-0.127,0.740,0.653,-2.533,0.885,-0.183,86.667,16083.000,1.000
-43.737,-21.000,-22.362,-59.659,-59.462,-41.873,-51.884,-13.289,-0.130,0.741,0.656,-2.533,0.885,-0.275,86.667,16084.000,1.000
-46.420,-22.511,-22.812,-99.794,-70.712,-51.879,-62.828,-13.502,-0.130,0.743,0.653,-2.777,0.916,-0.153,86.667,16085.000,1.000
-43.216,-21.112,-20.328,-122.663,-71.251,-52.954,-64.212,-10.291,-0.130,0.741,0.654,-2.960,0.824,-0.061,86.667,16086.000,1.000
-34.006,-16.906,-14.877,-120.230,-59.179,-43.471,-54.398,-4.269,-0.131,0.742,0.652,-3.052,0.671,-0.122,86.667,16087.000,1.000
-22.304,-11.819,-8.462,-96.523,-39.354,-27.408,-37.825,1.881,-0.130,0.742,0.656,-3.235,0.732,-0.061,86.667,16088.000,1.000
