Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Elements
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,783.69965,783.69965,785.31134,794.9817,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,779.67035,777.25275,782.0879,789.34064,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,782.8938,786.1172,793.36993,788.1319,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,788.1319,794.17584,800.2198,800.2198,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,795.38464,799.41394,799.41394,803.8461,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,793.7729,798.60803,795.38464,803.44324,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,789.7436,794.9817,789.34064,801.4286,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,791.75824,792.1612,786.52014,799.81683,
0.6701069,0.6996393,0.5905843,1.0497966,0.56181467,0.24317288,0.5987894,0.5617605,789.34064,786.1172,786.9231,793.7729,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,784.10254,784.5055,784.90845,782.8938,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,788.5348,788.5348,778.86444,784.5055,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,783.2967,784.10254,774.43225,792.5641,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,776.4469,780.4762,774.0293,788.93774,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,782.8938,782.49084,770.80585,784.5055,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,780.4762,780.4762,769.59705,784.5055,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,780.07324,777.6557,774.0293,791.3553,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,778.0586,776.04395,774.0293,787.72894,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,779.2674,777.6557,773.6264,780.87915,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,782.49084,778.86444,776.04395,784.5055,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,783.69965,773.6264,769.59705,779.67035,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,784.5055,772.01465,761.13556,777.25275,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,786.9231,775.2381,763.1502,787.72894,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,780.07324,770.0,767.1795,788.93774,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,781.28204,776.8498,763.95605,784.90845,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,792.1612,788.93774,764.35895,790.9524,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,787326,785.7143,772.4176,793.36993,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,783.2967,782.49084,778.0586,783.69965,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,780.87915,782.49084,780.4762,778.0586,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,780.87915,782.0879,782.49084,787326,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,782.49084,780.4762,773.6264,791.75824,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,780.07324,779.2674,772.01465,788.5348,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,777.25275,774.0293,774.83514,790.14655,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,776.04395,770.80585,770.0,782.0879,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,781685,776.4469,776.8498,777.25275,
0.60694087,0.6996393,0.5905843,1.0481449,0.5664248,0.24566026,0.61376923,0.57912564,778.86444,778.46155,778.0586,782.8938,
0.5723622,0.6996393,0.5905843,1.0123433,0.5633173,0.24192518,0.6303257,0.5899164,776.8498,777.25275,770.40295,779.67035,
0.5723622,0.6996393,0.5905843,1.0123433,0.5633173,0.24192518,0.6303257,0.5899164,774.0293,776.4469,774.43225,780.4762,
0.5723622,0.6996393,0.5905843,1.0123433,0.5633173,0.24192518,0.6303257,0.5899164,773.22345,778.0586,777.6557,782.8938,
