EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.285,-4.399,-7.783,-7.553,-17.370,-15.354,-9.126,-33.743,-0.031,1.010,-0.138,-2.350,-0.488,1.251,73.333,30746.000,1.000
5.027,-2.074,-12.798,-5.983,-19.436,-18.905,-5.347,-32.579,-0.026,1.012,-0.137,-2.319,-0.641,1.129,73.333,30747.000,1.000
10.762,1.156,-17.350,-3.820,-21.300,-21.297,-0.280,-28.936,-0.026,1.011,-0.134,-2.289,-0.580,1.129,73.333,30748.000,1.000
15.035,2.417,-22.317,-2.702,-24.006,-24.389,3.376,-24.737,-0.023,1.012,-0.135,-2.411,-0.519,1.160,73.333,30749.000,1.000
15.923,-0.356,-28.061,-3.621,-27.927,-29.227,3.389,-21.258,-0.023,1.010,-0.137,-2.350,-0.549,1.160,73.333,30750.000,1.000
13.522,-6.513,-34.302,-6.410,-32.585,-34.837,0.207,-18.342,-0.023,1.010,-0.139,-2.319,-0.458,1.251,73.333,30751.000,1.000
9.656,-13.278,-40.184,-9.946,-36.924,-39.004,-3.605,-14.904,-0.024,1.011,-0.137,-2.319,-0.458,1.190,73.333,30752.000,1.000
6.099,-18.333,-44.498,-12.901,-39.877,-40.216,-6.161,-10.089,-0.026,1.010,-0.137,-2.167,-0.488,1.251,73.333,30753.000,1.000
3.283,-21.566,-46.197,-14.545,-40.906,-38.698,-7.890,-4.092,-0.027,1.010,-0.138,-2.167,-0.488,1.282,73.333,30754.000,1.000
0.884,-24.026,-44.779,-14.907,-40.102,-35.507,-10.083,2.054,-0.027,1.010,-0.140,-2.197,-0.549,1.282,73.333,30755.000,1.000
-0.830,-25.706,-40.308,-14.257,-37.758,-30.987,-12.352,7.470,-0.026,1.008,-0.142,-2.228,-0.610,1.373,73.333,30756.000,1.000
-0.941,-25.238,-33.389,-12.716,-34.063,-24.648,-12.577,11.976,-0.024,1.007,-0.140,-2.167,-0.702,1.373,73.333,30757.000,1.000
0.975,-21.716,-25.072,-10.384,-29.206,-16.375,-9.519,15.711,-0.024,1.006,-0.139,-2.106,-0.610,1.434,73.333,30758.000,1.000
4.176,-16.003,-16.485,-7.680,-23.672,-7.148,-4.581,18.549,-0.026,1.006,-0.139,-1.953,-0.610,1.617,73.333,30759.000,1.000
7.244,-10.035,-8.570,-5.445,-18.404,1.543,-0.393,19.979,-0.026,1.006,-0.141,-1.984,-0.580,1.556,73.333,30760.000,1.000
9.113,-5.210,-1.989,-4.512,-14.434,8.797,1.941,19.583,-0.027,1.010,-0.137,-1.892,-0.580,1.526,73.333,30761.000,1.000
9.540,-1.770,3.054,-5.078,-12.181,14.640,3.503,17.522,-0.030,1.010,-0.137,-1.831,-0.702,1.434,73.333,30762.000,1.000
8.668,0.365,6.811,-6.615,-11.190,19.296,5.569,14.394,-0.032,1.010,-0.139,-1.770,-0.732,1.343,73.333,30763.000,1.000
6.567,0.795,9.706,-8.275,-10.540,22.561,7.694,10.786,-0.032,1.010,-0.141,-1.831,-0.916,1.221,73.333,30764.000,1.000
3.561,-0.708,12.064,-9.273,-9.416,24.126,8.342,7.108,-0.030,1.010,-0.141,-1.892,-0.977,1.190,73.333,30765.000,1.000
0.686,-3.097,13.984,-9.104,-7.505,24.091,7.058,3.560,-0.030,1.010,-0.141,-1.801,-0.977,1.038,73.333,30766.000,1.000
-0.829,-4.527,15.318,-7.695,-5.063,22.719,5.015,0.045,-0.031,1.009,-0.139,-1.801,-1.068,1.099,73.333,30767.000,1.000
-0.701,-4.116,15.789,-5.393,-2.639,19.820,3.277,-3.851,-0.032,1.007,-0.139,-1.831,-1.221,1.099,73.333,30768.000,1.000
0.185,-2.597,15.226,-2.724,-0.717,14.866,1.498,-8.684,-0.032,1.009,-0.139,-1.831,-1.312,1.007,73.333,30769.000,1.000
0.978,-0.888,13.802,-0.025,0.493,8.007,-0.907,-14.724,-0.030,1.010,-0.140,-1.740,-1.434,1.007,73.333,30770.000,1.000
2.042,1.378,12.037,2.738,1.113,0.752,-2.911,-21.450,-0.029,1.011,-0.139,-1.862,-1.556,1.038,73.333,30771.000,1.000
4.519,5.255,10.440,5.713,1.429,-4.863,-2.393,-27.599,-0.030,1.013,-0.140,-1.923,-1.587,1.038,73.333,30772.000,1.000
8.684,10.565,9.073,8.694,1.541,-7.981,1.214,-31.952,-0.030,1.013,-0.138,-1.953,-1.556,1.068,73.333,30773.000,1.000
13.060,15.132,7.327,10.883,1.037,-9.639,5.622,-34.015,-0.026,1.014,-0.138,-1.984,-1.617,1.007,73.333,30774.000,1.000
15.513,16.443,4.208,11.130,-0.964,-11.552,7.773,-33.862,-0.025,1.012,-0.142,-2.014,-1.648,0.977,73.333,30775.000,1.000
15.225,14.010,-0.861,8.659,-5.140,-14.256,7.016,-31.492,-0.024,1.011,-0.139,-2.106,-1.678,1.129,73.333,30776.000,1.000
