TimeStamp;Delta_TP9;Delta_AF7;Delta_AF8;Delta_TP10;Theta_TP9;Theta_AF7;Theta_AF8;Theta_TP10;Alpha_TP9;Alpha_AF7;Alpha_AF8;Alpha_TP10;Beta_TP9;Beta_AF7;Beta_AF8;Beta_TP10;Gamma_TP9;Gamma_AF7;Gamma_AF8;Gamma_TP10;RAW_TP9;RAW_AF7;RAW_AF8;RAW_TP10;AUX_RIGHT;Accelerometer_X;Accelerometer_Y;Accelerometer_Z;Gyro_X;Gyro_Y;Gyro_Z;HeadBandOn;HSI_TP9;HSI_AF7;HSI_AF8;HSI_TP10;Battery;Elements
21:55:52.617;0.7169687;0.2710709;0.40240204;0.80963796;0.5366737;0.08117553;0.16827014;0.5032709;0.46292153;0.2649853;0.32837793;0.6660922;0.69773775;0.6880659;0.87054956;0.6928411;0.47984204;0.32654467;0.60783833;0.3775302;779.2674;823.5897;805.05493;812.71063;803.0403;0.43096923828125;-0.0252685546875;0.911376953125;1.4056396484375;-4.8150634765625;-1.652374267578125;1;1.0;1.0;1.0;1.0;50.00;
21:55:53.625;1.0002275;0.5321639;0.72147596;1.0676105;0.28923133;0.12902752;0.5269158;0.37811464;1.1081583;0.16896856;-0.2211819;0.8072121;0.2206647;0.70470065;0.5339599;0.5924577;0.15111336;0.23668848;0.022525916;0.29139453;740989;796.5934;815.9341;821.1722;853.4066;0.42523193359375;-0.03369140625;0.912109375;1.256103515625;-4.20196533203125;-1.74957275390625;1;1.0;1.0;1.0;1.0;50.00;
21:55:54.631;1.1611052;0.41988415;0.72590536;1.0580902;0.24262859;0.20095499;0.3570492;0.40431872;1.1469012;0.23055464;0.43763044;0.8996275;0.44471058;0.65169305;0.48074538;0.6078038;0.17233312;0.28301436;0.091631584;0.29809445;880.0;825.6044;821978;806.6667;857.8388;0.42926025390625;-0.03765869140625;0.91748046875;1.36077880859375;-3.7982177734375;-1.398162841796875;1;1.0;1.0;1.0;1.0;50.00;
21:55:55.639;1.3294334;0.6730566;0.8195731;1.0827326;0.14559345;0.06136057;0.2583746;0.4787684;0.8290241;0.2395963;0.40635067;0.6881577;0.6216057;0.74374074;0.8874034;0.6029022;0.20435998;0.4978222;0.3814958;0.29199246;736.9597;815.12823;827619;823.9927;788.1319;0.43365478515625;-0.033447265625;0.9091796875;1.80938720703125;-4.628143310546875;-1.136474609375;1;1.0;1.0;1.0;1.0;50.00;
21:55:56.251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/blink
21:55:56.653;0.21147403;0.90656376;0.33792812;0.0010092094;0.0990021;0.6850691;0.116855994;-0.06395825;0.46756783;0.71651036;0.17527121;0.30735192;0.4473631;0.8043341;0.822265;0.633313;0.3847282;0.5218263;0.4905672;0.33936974;751.4652;800.6227;800.6227;794.57874;737.76556;0.4368896484375;-0.0379638671875;0.9111328125;1.57012939453125;-3.641204833984375;-1.966400146484375;1;1.0;1.0;1.0;1.0;50.00;
21:55:57.531;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/blink
21:55:57.662;0.17301367;1.1362289;0.5638928;-0.1289183;0.0883285;0.91693234;0.3321349;-0.015014413;0.4669038;0.70819074;0.21459354;0.3070599;0.46622357;0.82762426;0.68858284;0.64727074;0.39471558;0.50655186;0.55257344;0.35970768;840.9158;794.57874;815.9341;838.9011;1035.9341;0.42999267578125;-0.035400390625;0.9178466796875;1.435546875;-3.476715087890625;-1.682281494140625;1;1.0;1.0;1.0;1.0;50.00;
21:55:58.050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/blink
21:55:58.681;0.17301367;0.53785205;0.24062648;-0.1289183;0.0883285;0.42922685;0.3038598;-0.015014413;0.4669038;0.26144588;0.55477107;0.3070599;0.46622357;0.74528766;0.86815083;0.64727074;0.39471558;0.44836596;0.6091459;0.35970768;835.2747;819.15753;821.1722;795.78754;705.9341;0.4312744140625;-0.03515625;0.91278076171875;1.42059326171875;-4.29168701171875;-1.263580322265625;1;1.0;1.0;1.0;1.0;50.00;
21:55:59.700;-0.025087785;0.25515163;0.44585362;-0.4979826;0.12658514;0.18717064;-0.017447127;0.05202631;0.2081097;0.2378713;0.2563902;0.59243834;0.77378774;0.75397193;0.9648175;0.7346022;0.36025882;0.41187203;0.56038576;0.40779218;803.8461;795.38464;810293;698.68134;830.0366;0.43743896484375;-0.040771484375;0.91351318359375;2.011260986328125;-4.777679443359375;-1.39068603515625;1;1.0;1.0;1.0;1.0;50.00;
21:55:59.897;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/muse/elements/blink
